diego/4.300,00/1/192,61/602,00/3.505,39
lucas/3.200,00/1/59,95/448,00/2.692,05
Thiago/3.600,00/1/102,31/504,00/2.993,69
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
marcos/2.300,00/2/1,71/276,00/2.022,29
rogerio/1.200,00/1/0,00/108,00/1.092,00
rogerio/1.200,00/1/0,00/108,00/1.092,00
rogerio/1.200,00/1/0,00/108,00/1.092,00
